WMO_box lon_min lon_max lat_min lat_max
5408 -90 -80 -50 -40
5508 -90 -80 -60 -50
5608 -90 -80 -70 -60
5708 -90 -80 -80 -70
5808 -90 -80 -90 -80
7807 -80 -70 80 90
7707 -80 -70 70 80
7607 -80 -70 60 70
7507 -80 -70 50 60
7407 -80 -70 40 50
7307 -80 -70 30 40
7207 -80 -70 20 30
7107 -80 -70 10 20
7007 -80 -70 0 10
5007 -80 -70 -10 0
5107 -80 -70 -20 -10
5207 -80 -70 -30 -20
5307 -80 -70 -40 -30
5407 -80 -70 -50 -40
5507 -80 -70 -60 -50
5607 -80 -70 -70 -60
5707 -80 -70 -80 -70
5807 -80 -70 -90 -80
7806 -70 -60 80 90
7706 -70 -60 70 80
7606 -70 -60 60 70
7506 -70 -60 50 60
7406 -70 -60 40 50
7306 -70 -60 30 40
7206 -70 -60 20 30
7106 -70 -60 10 20
7006 -70 -60 0 10
5006 -70 -60 -10 0
5106 -70 -60 -20 -10
5206 -70 -60 -30 -20
5306 -70 -60 -40 -30
5406 -70 -60 -50 -40
5506 -70 -60 -60 -50
5606 -70 -60 -70 -60
5706 -70 -60 -80 -70
5806 -70 -60 -90 -80
7805 -60 -50 80 90
7705 -60 -50 70 80
7605 -60 -50 60 70
7505 -60 -50 50 60
7405 -60 -50 40 50
7305 -60 -50 30 40
7205 -60 -50 20 30
7105 -60 -50 10 20
7005 -60 -50 0 10
5005 -60 -50 -10 0
5105 -60 -50 -20 -10
5205 -60 -50 -30 -20
5305 -60 -50 -40 -30
5405 -60 -50 -50 -40
5505 -60 -50 -60 -50
5605 -60 -50 -70 -60
5705 -60 -50 -80 -70
5805 -60 -50 -90 -80
7804 -50 -40 80 90
7704 -50 -40 70 80
7604 -50 -40 60 70
7504 -50 -40 50 60
7404 -50 -40 40 50
7304 -50 -40 30 40
7204 -50 -40 20 30
7104 -50 -40 10 20
7004 -50 -40 0 10
5004 -50 -40 -10 0
5104 -50 -40 -20 -10
5204 -50 -40 -30 -20
5304 -50 -40 -40 -30
5404 -50 -40 -50 -40
5504 -50 -40 -60 -50
5604 -50 -40 -70 -60
5704 -50 -40 -80 -70
5804 -50 -40 -90 -80
7803 -40 -30 80 90
7703 -40 -30 70 80
7603 -40 -30 60 70
7503 -40 -30 50 60
7403 -40 -30 40 50
7303 -40 -30 30 40
7203 -40 -30 20 30
7103 -40 -30 10 20
7003 -40 -30 0 10
5003 -40 -30 -10 0
5103 -40 -30 -20 -10
5203 -40 -30 -30 -20
5303 -40 -30 -40 -30
5403 -40 -30 -50 -40
5503 -40 -30 -60 -50
5603 -40 -30 -70 -60
5703 -40 -30 -80 -70
5803 -40 -30 -90 -80
7802 -30 -20 80 90
7702 -30 -20 70 80
7602 -30 -20 60 70
7502 -30 -20 50 60
7402 -30 -20 40 50
7302 -30 -20 30 40
7202 -30 -20 20 30
7102 -30 -20 10 20
7002 -30 -20 0 10
5002 -30 -20 -10 0
5102 -30 -20 -20 -10
5202 -30 -20 -30 -20
5302 -30 -20 -40 -30
5402 -30 -20 -50 -40
5502 -30 -20 -60 -50
5602 -30 -20 -70 -60
5702 -30 -20 -80 -70
5802 -30 -20 -90 -80
7801 -20 -10 80 90
7701 -20 -10 70 80
7601 -20 -10 60 70
7501 -20 -10 50 60
7401 -20 -10 40 50
