# source lat long PCM_LABELS
"1901620_140.BRECKOWENS" -19.765 7.119 1.0
"1901620_141.BRECKOWENS" -19.754 6.974 1.0
"1901620_142.BRECKOWENS" -19.773 6.876 1.0
"1901620_143.BRECKOWENS" -19.846 6.833 1.0
"1901621_018.BRECKOWENS" -19.945 6.378 1.0
"1901621_019.BRECKOWENS" -19.664 6.455 1.0
"1901621_020.BRECKOWENS" -19.372 6.530 1.0
"1901621_021.BRECKOWENS" -19.151 6.555 1.0
"1901621_022.BRECKOWENS" -19.078 6.586 1.0
"1901621_023.BRECKOWENS" -19.179 6.637 1.0
"1901621_024.BRECKOWENS" -19.408 6.693 1.0
"1901621_025.BRECKOWENS" -19.650 6.703 1.0
"1901621_026.BRECKOWENS" -19.838 6.718 1.0
"1901621_033.BRECKOWENS" -19.950 6.597 1.0
"1901621_034.BRECKOWENS" -19.850 6.408 1.0
"1901621_035.BRECKOWENS" -19.842 6.412 1.0
"1901621_036.BRECKOWENS" -19.823 6.537 1.0
"1901621_037.BRECKOWENS" -19.765 6.747 1.0
"1901621_038.BRECKOWENS" -19.749 6.945 1.0
"1901621_039.BRECKOWENS" -19.827 7.046 1.0
"1901621_040.BRECKOWENS" -19.994 6.945 1.0
"1901621_043.BRECKOWENS" -19.992 5.981 1.0
"1901621_044.BRECKOWENS" -19.914 5.860 1.0
"1901621_045.BRECKOWENS" -19.872 5.851 1.0
"1901621_046.BRECKOWENS" -19.813 5.842 1.0
"1901621_047.BRECKOWENS" -19.811 5.822 1.0
"1901621_048.BRECKOWENS" -19.919 5.794 1.0
"1901621_060.BRECKOWENS" -19.940 5.095 1.0
"1901621_061.BRECKOWENS" -19.623 4.776 1.0
"1901621_062.BRECKOWENS" -19.297 4.517 1.0
"1901621_063.BRECKOWENS" -18.958 4.424 1.0
"1901621_064.BRECKOWENS" -18.788 4.567 1.0
"1901621_065.BRECKOWENS" -18.869 4.840 1.0
"1901621_066.BRECKOWENS" -19.099 5.135 1.0
"1901621_067.BRECKOWENS" -19.400 5.216 1.0
"1901621_068.BRECKOWENS" -19.687 5.061 1.0
"1901621_069.BRECKOWENS" -19.952 4.868 1.0
"1901621_074.BRECKOWENS" -19.646 4.948 1.0
"1901621_075.BRECKOWENS" -19.441 5.312 1.0
"1901621_076.BRECKOWENS" -19.513 5.777 1.0
"1901621_077.BRECKOWENS" -19.788 6.007 1.0
"1901621_083.BRECKOWENS" -19.763 5.447 1.0
"1901621_084.BRECKOWENS" -19.568 5.401 1.0
"1901621_085.BRECKOWENS" -19.407 5.333 1.0
"1901621_086.BRECKOWENS" -19.283 5.216 1.0
"1901621_087.BRECKOWENS" -19.281 5.200 1.0
"1901621_088.BRECKOWENS" -19.272 5.186 1.0
"1901621_089.BRECKOWENS" -19.271 5.169 1.0
"1901621_090.BRECKOWENS" -19.271 5.141 1.0
"1901621_091.BRECKOWENS" -19.237 5.023 1.0
"1901621_092.BRECKOWENS" -19.237 4.931 1.0
"1901621_093.BRECKOWENS" -19.235 4.916 1.0
"1901621_094.BRECKOWENS" -19.207 5.057 1.0
"1901621_095.BRECKOWENS" -19.149 5.383 1.0
"1901621_096.BRECKOWENS" -19.311 5.754 1.0
"1901621_097.BRECKOWENS" -19.622 6.049 1.0
"1901621_098.BRECKOWENS" -19.897 6.208 1.0
"1901621_103.BRECKOWENS" -19.773 7.678 1.0
"1901621_104.BRECKOWENS" -19.422 7.753 1.0
"1901621_105.BRECKOWENS" -19.049 7.636 1.0
"1901621_106.BRECKOWENS" -18.680 7.620 1.0
"1901621_110.BRECKOWENS" -18.392 8.704 1.0
"1901621_111.BRECKOWENS" -19.122 8.359 1.0
"1901621_112.BRECKOWENS" -19.647 7.942 1.0
"1901621_113.BRECKOWENS" -19.927 7.539 1.0
"1901621_124.BRECKOWENS" -19.942 5.366 1.0
"1901621_125.BRECKOWENS" -19.809 5.632 1.0
"1901621_126.BRECKOWENS" -19.853 6.016 1.0
"1901621_127.BRECKOWENS" -19.969 6.274 1.0
"1901621_135.BRECKOWENS" -19.811 6.880 1.0
"1901621_136.BRECKOWENS" -19.663 6.733 1.0
"1901621_137.BRECKOWENS" -19.501 6.519 1.0
"1901621_138.BRECKOWENS" -19.214 6.183 1.0
"1901621_139.BRECKOWENS" -18.807 6.139 1.0
"1901621_140.BRECKOWENS" -18.710 6.582 1.0
"1901621_141.BRECKOWENS" -19.011 6.681 1.0
"1901621_142.BRECKOWENS" -19.263 6.433 1.0
"1901621_143.BRECKOWENS" -19.392 6.165 1.0
"1901621_144.BRECKOWENS" -19.481 5.938 1.0
"1901621_145.BRECKOWENS" -19.575 5.670 1.0
"1901621_146.BRECKOWENS" -19.620 5.338 1.0
"1901621_147.BRECKOWENS" -19.580 5.008 1.0
"1901621_148.BRECKOWENS" -19.455 4.681 1.0
"1901621_149.BRECKOWENS" -19.224 4.475 1.0
"1901621_150.BRECKOWENS" -18.977 4.408 1.0
"1901621_151.BRECKOWENS" -18.949 4.560 1.0
"1901621_152.BRECKOWENS" -19.266 4.826 1.0
"1901621_153.BRECKOWENS" -19.614 5.081 1.0
"1901621_154.BRECKOWENS" -19.821 5.259 1.0
"1901621_155.BRECKOWENS" -19.992 5.319 1.0
"1901623_016.BRECKOWENS" -18.136 6.825 1.0
"1901623_017.BRECKOWENS" -18.312 6.677 1.0
"1901623_018.BRECKOWENS" -18.347 6.564 1.0
"1901623_019.BRECKOWENS" -18.338 6.607 1.0
"1901623_020.BRECKOWENS" -18.310 6.817 1.0
"1901623_021.BRECKOWENS" -18.343 7.103 1.0
"1901623_022.BRECKOWENS" -18.376 7.340 1.0
"1901623_023.BRECKOWENS" -18.402 7.429 1.0
"1901623_024.BRECKOWENS" -18.392 7.386 1.0
"1901623_025.BRECKOWENS" -18.326 7.190 1.0
"1901623_026.BRECKOWENS" -18.241 6.894 1.0
"1901623_027.BRECKOWENS" -18.183 6.543 1.0
"1901623_028.BRECKOWENS" -18.151 6.160 1.0
"1901623_029.BRECKOWENS" -18.114 5.737 1.0
"1901623_030.BRECKOWENS" -18.103 5.420 1.0
"1901623_031.BRECKOWENS" -18.073 5.176 1.0
"1901623_042.BRECKOWENS" -18.151 4.400 1.0
"1901623_043.BRECKOWENS" -18.409 4.327 1.0
"1901623_044.BRECKOWENS" -18.581 4.352 1.0
"1901623_045.BRECKOWENS" -18.677 4.479 1.0
"1901623_046.BRECKOWENS" -18.647 4.617 1.0
"1901623_047.BRECKOWENS" -18.505 4.736 1.0
"1901623_048.BRECKOWENS" -18.382 4.808 1.0
"1901623_049.BRECKOWENS" -18.302 4.862 1.0
"1901623_050.BRECKOWENS" -18.244 4.942 1.0
"1901623_051.BRECKOWENS" -18.130 5.082 1.0
"1901623_076.BRECKOWENS" -18.124 5.144 1.0
"1901623_077.BRECKOWENS" -18.200 5.299 1.0
"1901623_078.BRECKOWENS" -18.209 5.450 1.0
"1901623_079.BRECKOWENS" -18.077 5.537 1.0
"4901024_138.BRECKOWENS" -19.922 2.958 1.0
"4901024_139.BRECKOWENS" -19.803 2.615 1.0
"4901024_140.BRECKOWENS" -19.754 2.340 1.0
"4901024_141.BRECKOWENS" -19.695 2.094 1.0
"4901024_142.BRECKOWENS" -19.563 1.789 1.0
